YB,LM,TEMP,LRATIO,T_BOL,SURF_DENS
3531,3.227529626,15.2,41.5,44.74,0.09
3532,2.691575092,14.2,42.3,76.35,0.43
3533,8.709821429,16.8,90.4,59.74,0.13
3535,7.904761905,18.5,3.3,42.65,0.07
3537,5.671517028,17.1,55.9,41.73,0.1
3538,13.66931217,20.7,89.5,43.75,0.04
3540,1.127090301,13.5,20,34.29,0.26
3541,35.75518672,20.3,248,59.08,0.01
3543,17.6704918,20.1,6.4,55.26,1.45
3544,16.56166983,19.9,121.6,55.58,1
3545,52.08677529,25,244.4,54.89,0.76
3546,71.37649219,28.5,271.1,57.07,1.71
3547,11.71404399,18.1,103.3,63.72,0.34
3549,34.32994186,22.6,191.4,48.62,0.18
3550,3.895454545,15.6,47.8,43.8,0.13
3551,80.56,23.1,432.6,66.49,0.02
3552,5.557101361,18,50.2,39.62,1.09
3553,14.88695652,22.8,80.8,37.88,0.01
3554,14.18357488,18.9,111.2,52.88,0.07
3555,8.294117647,18.9,65.8,42.34,0.26
3556,30.38348558,22.7,167.3,46.65,0.1
3558,2.660845118,14.6,38.4,48.65,0.18
3560,4,18.1,58.4,39.72,0.05
3561,1.362416107,13.8,22.6,33.21,0.05
3562,21.19709794,20.3,146.1,55.82,0.03
3563,3.193726401,14,51,50.4,0.1
3565,1.325842697,13.2,1.2,37.95,0.19
3567,4.524936602,15.9,53.1,42.75,0.39
3569,4.537550096,16.3,50.4,41.96,0.3
3570,117.6651727,28.3,441.6,71.26,0.78
3571,0.633329517,13.7,11,21.2,0.18
3572,15.58067602,20,109.6,46.84,0.18
3573,33.45873016,22.3,190.1,57.02,0.1
3576,10.31490385,19.6,76,46.24,0.03
3577,16.07885425,19.4,119.9,47.78,0.17
3581,11.90130719,16.9,120.3,50.65,0.06
3583,2.360902256,14.7,33.5,41.75,0.27
3584,0.284322086,12,7.2,18.55,0.11
3585,1.5,13.9,1.2,37.59,0.02
3586,0.687323944,13.9,11.3,21.48,0.02
3589,25.68010076,20.4,174.5,62.31,0.23
3590,7.555944056,17,75,54.86,0.1
3591,35.75760773,22.7,197.8,50.2,0.32
3592,16.31907594,21.8,98,46.36,0.3
3594,29.67110036,22.6,164.2,46.96,0.08
3595,11.64492754,17.7,107.9,70.96,0.16
3596,21.79320518,21.9,129.4,53.12,0.48
3597,4.343842536,18,38.7,32.84,0.11
3598,4.518059856,17.5,42.8,37.03,0.03
3599,34.09842641,23,182.9,47.96,0.05
3602,4.254689755,16.7,44.9,39.12,0.05
3605,2.970332723,12.7,61.1,49.67,0.27
3606,4.307048821,15.6,52.9,58.21,0.42
3607,1.151672434,13.2,21.6,38.73,0.21
3609,5.671506352,17,57.1,42.65,0.12
3610,0.976224784,12.4,21.7,39.33,0.38
3612,0.20606803,9.6,10.2,43.96,0.38
3613,9.778449354,16.4,106,62.75,0.18
3614,20.72031169,24.5,105.3,45.11,2.55
3616,6.765851462,15.8,81.4,52.33,0.75
3617,10.24585635,17.8,92.1,52.85,0.18
3618,1.818965517,12.6,1.8,61.63,0.54
3620,1.560716014,14.9,21.9,31.22,0.79
3621,6.195878274,16.1,70.3,45.04,0.16
3623,51.74812344,24.3,252.5,55,0.42
3625,44.54166667,22.9,11.2,55.48,0.3
3626,1.871077184,13.9,30.9,42.28,0.18
3627,9,17.4,85.6,56.19,0.15
3628,0.956754906,11.7,25.5,43.56,0.37
3629,7.176470588,17.7,3.1,54.05,0.06
3631,2.972351473,14.5,43.8,44.18,0.34
3632,0.662051427,11.4,18.8,42.92,0.17
3633,124.979798,38.8,284.2,46.97,0.08
3634,1.763980263,13.8,29.1,38.49,0.15
3636,3.307718234,16.3,37,35.78,0.03
3638,2.5,15.5,31.4,36.34,0.04
3640,144.3805484,27.6,565.3,58.34,0.76
3642,2.135423846,14.9,29.3,36.58,0.33
3643,2.545454545,15.3,34,38.63,0.03
3644,5.309302326,17.8,48.8,44.46,0.91
3646,11.42634157,18.4,97,49.57,0.3
3647,1.550507492,12.7,32.3,45.24,0.13
3648,38.36686391,25.2,176.2,50.39,0.01
3649,6.761904762,19.5,50.6,35.75,0.04
3650,26.35460295,21.4,167.6,53.56,1.35
3651,13.60471665,18.4,114.1,53.25,0.2
3652,27.66049822,21.7,169.1,49.92,0.81
3655,5.833046472,17.7,53.5,39.59,0.03
3656,1.134732398,12.3,26.2,46.51,0.48
3657,1.932108418,13.2,36.8,55.03,0.33
3659,6.314285714,16.8,65.3,43.88,0.06
3660,3.166764879,15.5,39.8,39.16,0.12
3661,6.498142888,16.8,67.8,52.3,0.39
